slug,authority,official_url,fee,exam_format,eligibility,frequency,pass_rate,source_checked_at,name,major_category,type,search_query
c-4325,,,,,,,,,葬祭ディレクター1級,美容・サービス・スポーツ,要確認,葬祭ディレクター1級 受験料 受験資格 公式
c-4326,,,,,,,,,葬祭ディレクター2級,美容・サービス・スポーツ,要確認,葬祭ディレクター2級 受験料 受験資格 公式
c-4313,,,,,,,,,認定エステティシャン,美容・サービス・スポーツ,要確認,認定エステティシャン 受験料 受験資格 公式
c-6705,,,,,,,,,ボイラー取扱作業主任者,設備・プラント・機械運転,国家,ボイラー取扱作業主任者 受験料 受験資格 公式
c-3534,,,,,,,,,日本語検定6級,語学・コミュニケーション,要確認,日本語検定6級 受験料 受験資格 公式
c-3536,,,,,,,,,日本語検定7級,語学・コミュニケーション,要確認,日本語検定7級 受験料 受験資格 公式
c-3533,,,,,,,,,日本語検定準5級,語学・コミュニケーション,要確認,日本語検定準5級 受験料 受験資格 公式
c-3535,,,,,,,,,日本語検定準6級,語学・コミュニケーション,要確認,日本語検定準6級 受験料 受験資格 公式
c-3537,,,,,,,,,日本語検定準7級,語学・コミュニケーション,要確認,日本語検定準7級 受験料 受験資格 公式
c-6802,,,,,,,,,工事担任者AI第2種,電気・通信,国家,工事担任者AI第2種 受験料 受験資格 公式
c-6805,,,,,,,,,工事担任者DD第2種,電気・通信,国家,工事担任者DD第2種 受験料 受験資格 公式
c-6810,,,,,,,,,CATV技術者,電気・通信,要確認,CATV技術者 受験料 受験資格 公式
c-6811,,,,,,,,,配電制御システム検査技士(1~2級),電気・通信,要確認,配電制御システム検査技士(1~2級) 受験料 受験資格 公式
c-4410,,,,,,,,,一級惣菜管理士,食品・調理・栄養,要確認,一級惣菜管理士 受験料 受験資格 公式
c-4412,,,,,,,,,三級惣菜管理士,食品・調理・栄養,要確認,三級惣菜管理士 受験料 受験資格 公式
c-4411,,,,,,,,,二級惣菜管理士,食品・調理・栄養,要確認,二級惣菜管理士 受験料 受験資格 公式
c-4404,,,,,,,,,鮮魚士(1級),食品・調理・栄養,要確認,鮮魚士(1級) 受験料 受験資格 公式
c-4405,,,,,,,,,鮮魚士(2級),食品・調理・栄養,要確認,鮮魚士(2級) 受験料 受験資格 公式
c-4406,,,,,,,,,鮮魚士(3級),食品・調理・栄養,要確認,鮮魚士(3級) 受験料 受験資格 公式
